"Ftrgt","catch","ssb","tsb","rec"
0,0,21019.8633808202,22030.9791141766,7192.00457167123
0.1,1042.97485394312,9777.68764713806,10754.9152233876,6869.51464898584
0.2,1196.50893516953,5998.19931071222,6896.18719797206,6597.3175209878
0.3,1183.93789409874,4246.08306267703,5070.4291274077,6343.04788828748
0.4,1142.52314737093,3264.11138455853,4039.52665118763,6111.25768158174
0.5,1099.12624928952,2669.85109500379,3391.18522558019,5905.7473196564
0.6,1058.60943843549,2264.39060481688,2951.25329468487,5734.95154290674
0.7,1024.96420401252,1974.93055062423,2634.06594922562,5565.22192316981
0.8,995.285313786385,1759.69599811259,2395.37475698358,5431.04681208858
0.9,969.041506547088,1588.32120707956,2198.92315471699,5307.31023139467
1,946.246751102406,1453.19770389722,2040.02837063216,5197.47870041048
0.114589803375032,1089.34052291875,9007.63576234345,9951.61342634408,6824.26267972721
0.185410196624968,1189.90602083472,6382.15326017234,7275.6585657353,6637.08249526705
0.229179606750063,1199.55523479997,5361.06795834011,6230.27953095776,6513.54871558276
0.217824654003941,1199.80914881526,5594.10180675008,6472.57876329232,6551.73824542146
0.222009574156758,1200.63634436839,5507.21132487655,6378.07966329368,6539.32725286479
0.223137774888765,1200.69294179162,5482.46491726945,6355.50078440204,6534.87817392019
0.223477226049866,1200.69301980379,5476.22480659444,6349.34004472522,6532.87301886196
0.22381056271327,1200.66970139882,5469.76488897359,6342.67366213738,6531.95075123617
