"MP","period","OM","risk","catch","SSB","Fbar","ICV"
"ICES MSY","long term","Reference set ",0.0631428571428571,0.967141109966854,1.07936695364098,0.836666687404807,0.105957978729363
"ICES MSY","long term","Baseline",0.014,0.994425702684327,1.05807028950354,0.93674513928446,0.102950034617792
"ICES MSY","long term","Catch: no discards",0.004,0.949427797266109,1.58841546941207,0.52517874949257,0.10826657058169
"ICES MSY","long term","Catch: 100% discards",0.026,0.992396075290034,0.950098970429595,1.06736983291182,0.101524907042893
"ICES MSY","long term","Catch: no migration",0.007,0.990221995111248,1.21533783136266,0.789069945796887,0.109775495977822
"ICES MSY","long term","M: -50%",0.386,0.933091383828674,0.535727679205703,1.8916607826395,0.0971195048899733
"ICES MSY","long term","M: +50%",0,0.915897094569811,1.61083478722155,0.504532535485627,0.11262059751725
"ICES MSY","long term","M: Gislason",0.029,0.992190063866321,1.00604992385774,0.977314593168223,0.108108106685924
"ICES MSY","long term","R: no AC",0.002,0.984384518561975,1.1151643775282,0.871875756026806,0.0980861186607188
"ICES MSY","long term","R: +20%",0.011,0.982920854372054,1.07316354828786,0.913700945303394,0.102250201066717
"ICES MSY","long term","R: -20%",0.013,1.01503497266489,1.01842548871324,0.980326783269344,0.10991306648623
"ICES MSY","long term","R: failure",0.058,0.885322045241591,0.932722111098017,0.935388681807229,0.125881586901412
"ICES MSY","long term","Catch: +10%",0.03,0.98851244354741,0.955697119295474,1.04062739521018,0.111733297791621
"ICES MSY","long term","Catch: -20%",0.005,0.990927721798893,1.18046008279734,0.826602436367258,0.0976829757830164
"ICES MSY","long term","Uncertainty: index +20%",0.015,0.989428588661349,1.05304684374969,0.934900912110862,0.111211304667596
"ICES MSY","short term","Reference set ",0.126571428571429,0.864150950614644,1.05753672960616,0.81210271971989,0.114455612953846
"ICES MSY","short term","Baseline",0.011,0.873662112119567,0.993739290288255,0.889154938900545,0.11507452495533
"ICES MSY","short term","Catch: no discards",0.005,0.888776390951489,1.59677273220738,0.501825710328837,0.0902618828046197
"ICES MSY","short term","Catch: 100% discards",0.025,0.812299170189254,0.834222169847677,1.01928485602694,0.119976246709245
"ICES MSY","short term","Catch: no migration",0.008,0.874278272918753,1.13566849779541,0.757090385577722,0.121454650564793
"ICES MSY","short term","M: -50%",0.872,0.741402630458882,0.484499163893423,1.67808201891615,0.117553808489982
