"MP","index","optimum","n1","v","x","w","risk","catch","ssb"
1,"UK-FSP","global",1,1,0.59,1.4,0.0468571428571429,0.922217220584324,1.22251243612522
2,"UK-FSP","local",1,1,0.59,0.9,0.05,0.925735290423599,1.20282852128575
3,"UK-FSP","global",1,1,0.68,3.12,0.0491428571428571,0.943072358042355,1.21616897227651
4,"UK-FSP","local",2,2,0.58,1.02,0.05,0.934473038919554,1.27122891508137
5,"UK-FSP","global",2,2,0.66,3.7,0.0298571428571429,0.982281257594839,1.39675351376626
6,"Q1SWBeam","global",1,1,0.75,1.4,0.0461428571428571,0.936294566287417,1.21337020327579
7,"Q1SWBeam","local",1,1,0.75,1.05,0.0498571428571429,0.938394827997761,1.19418552927919
8,"Q1SWBeam","global",1,1,0.84,2.81,0.0498571428571429,0.966665354306846,1.23864620956338
9,"Q1SWBeam","local",2,2,0.67,0.89,0.05,0.871822896147966,1.35712704031827
10,"Q1SWBeam","global",2,2,0.88,4.03,0.0478571428571429,0.941492638698449,1.35939191529261
